regions,population
Andhra Pradesh,52883163
Bihar,119461013
Chandigarh,1182104
Chhattisgarh,2856690
Delhi,18802494
Goa,1542750
Gujarat,63907200
Haryana,27388008
Himachal Pradesh,7316708
Jammu and Kashmir,14046258
Karnataka,66165886
Kerala,35330888
Ladakh,307204
Madhya Pradesh,82342793
Maharashtra,120837347
Odisha,45429399
Puducherry,1397707
Punjab,29611935
Tamil Nadu,76481545
Telangana,38472769
Uttar Pradesh,228959599
Uttarakhand,11090425
West Bengal,97694960
